GDS Record Locator,Reservation Date,Car Pick Up Date,Car Drop Off Date,Car Chain Code,Car Chain Name,Car Pick Up City,Car Pick Up State,Car Drop Off City,Car Drop Off State,Car Rental Days,Car Daily Rate,Car Category,Online Indicator
JLUMHH,8/11/11,8/15/11,8/16/11,ET,ENTERPRISE CARS,Fargo,ND,Fargo,ND,1,38.00,Economy,Y
JLVUBA,6/6/12,6/11/12,6/14/12,ET,ENTERPRISE CARS,Philadelphia,PA,Philadelphia,PA,3,23.00,Compact,Y
JLXWGG,4/22/11,4/27/11,4/27/11,ZR,DOLLAR RENT A CAR,El Paso,TX,El Paso,TX,1,20.00,Compact,N
JLYFYG,8/21/13,8/26/13,8/28/13,ET,ENTERPRISE CARS,El Paso,TX,El Paso,TX,2,31.83,Compact,N
JLYLTK,10/9/12,10/12/12,10/13/12,ZL,NATIONAL CAR RENTAL,Birmingham,AL,Birmingham,AL,1,21.00,Compact,N
JLZEGJ,4/13/12,4/18/12,4/18/12,ZL,NATIONAL CAR RENTAL,Burbank,CA,Burbank,CA,1,45.00,Compact,N
JLZOKU,12/29/10,1/4/11,1/6/11,ZD,BUDGET RENT A CAR,Pasco,WA,Pasco,WA,2,38.00,Compact,Y
JMADDO,3/29/12,4/3/12,4/5/12,AL,ALAMO RENT A CAR,Burlington,VT,Burlington,VT,2,24.00,Compact,Y
JMAZQG,6/7/13,6/12/13,6/13/13,ZR,DOLLAR RENT A CAR,Pensacola,FL,Pensacola,FL,1,14.00,Economy,Y
JMAZQG,6/7/13,6/12/13,6/13/13,ZR,DOLLAR RENT A CAR,Pensacola,FL,Pensacola,FL,1,61.43,Economy,Y
JMAZQG,6/13/13,6/12/13,6/13/13,ZR,DOLLAR RENT A CAR,Pensacola,FL,Pensacola,FL,1,14.00,Economy,N
JMBGTT,5/17/13,5/20/13,5/24/13,ZL,NATIONAL CAR RENTAL,Washington D.C.-Dulles,DC,Washington D.C.-Dulles,DC,4,31.00,Compact,N
JMEWSC,8/8/13,8/12/13,8/14/13,ET,ENTERPRISE CARS,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,2,36.00,Standard,N
JMHDSU,4/5/12,4/10/12,4/13/12,ZT,THRIFTY RENT A CAR,Denver,CO,Denver,CO,3,47.00,Compact,Y
JMHKXD,3/29/13,4/3/13,4/3/13,ZE,HERTZ RENT A CAR,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,47.00,Compact,Y
JMISWF,3/2/11,3/7/11,3/10/11,ET,ENTERPRISE CARS,St. Louis,MO,St. Louis,MO,3,12.00,Compact,Y
JMIVPA,6/17/11,6/22/11,6/22/11,ZR,DOLLAR RENT A CAR,San Diego,CA,San Diego,CA,1,45.00,Compact,Y
JMJWLM,1/4/12,1/9/12,1/12/12,ZL,NATIONAL CAR RENTAL,Minot,ND,Minot,ND,3,48.00,Compact,Y
JMLABU,6/10/11,6/15/11,6/15/11,ZL,NATIONAL CAR RENTAL,Tucson,AZ,Tucson,AZ,1,46.00,Standard,Y
JMLXII,11/12/10,11/15/10,11/16/10,ZR,DOLLAR RENT A CAR,Denver,CO,Denver,CO,1,24.00,Economy,N
JMNGNM,4/27/12,5/1/12,5/8/12,ET,ENTERPRISE CARS,San Francisco,CA,San Francisco,CA,7,15.57,Compact,N
JMOVNE,1/7/11,1/12/11,1/15/11,AL,ALAMO RENT A CAR,Reno,NV,Reno,NV,3,25.00,Compact,N
JMOWKS,11/9/11,11/15/11,11/16/11,ZR,DOLLAR RENT A CAR,Houston-Hobby,TX,Houston-Hobby,TX,1,37.00,Intermediate,N
JMRYGZ,2/10/12,2/15/12,2/16/12,ZL,NATIONAL CAR RENTAL,Ft. Lauderdale,FL,Ft. Lauderdale,FL,1,20.00,Intermediate,N
JMVUYB,3/2/11,3/7/11,3/8/11,ZT,THRIFTY RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,1,27.00,Economy,Y
JMWOLU,6/29/12,7/7/12,7/12/12,ET,ENTERPRISE CARS,Miami,FL,Miami,FL,5,15.20,Economy,Y
JMYSUM,5/13/11,5/17/11,5/19/11,ET,ENTERPRISE CARS,Denver,CO,Denver,CO,2,21.00,Compact,N
JNBRUG,12/8/11,12/13/11,12/14/11,ET,ENTERPRISE CARS,Detroit-Metro,MI,Detroit-Metro,MI,1,30.00,Economy,Y
JNBSXD,12/8/10,12/13/10,12/14/10,ZR,DOLLAR RENT A CAR,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,33.00,Economy,Y
JNGCPI,1/3/13,1/8/13,1/9/13,ET,ENTERPRISE CARS,Kansas City-Intl,MO,Kansas City-Intl,MO,1,47.00,Compact,Y
JNIKON,3/5/12,3/8/12,3/8/12,ZL,NATIONAL CAR RENTAL,Laredo,TX,Laredo,TX,1,55.00,Compact,N
JNIKON,3/8/12,3/8/12,3/8/12,ZL,NATIONAL CAR RENTAL,Laredo,TX,Laredo,TX,1,55.00,Compact,N
JNJCYS,4/26/12,5/10/12,5/10/12,ZD,BUDGET RENT A CAR,El Paso,TX,El Paso,TX,1,28.00,Intermediate,N
JNLQVH,6/16/11,6/21/11,6/22/11,ZL,NATIONAL CAR RENTAL,Bakersfield,CA,Bakersfield,CA,1,66.00,Compact,Y
JNQFOL,3/2/12,3/7/12,3/8/12,ZE,HERTZ RENT A CAR,San Diego,CA,San Diego,CA,1,39.00,Compact,Y
JNQLCM,5/17/12,5/22/12,5/23/12,ET,ENTERPRISE CARS,El Paso,TX,El Paso,TX,1,43.00,Economy,Y
JNQPHH,12/7/11,12/11/11,12/12/11,ET,ENTERPRISE CARS,El Paso,TX,El Paso,TX,1,14.00,Compact,Y
JNSBBP,6/1/11,6/5/11,6/11/11,ZR,DOLLAR RENT A CAR,Baltimore/Washington Intl,MD,Baltimore/Washington Intl,MD,6,19.50,Economy,Y
JNTSGB,10/14/11,10/19/11,10/19/11,ZD,BUDGET RENT A CAR,Reno,NV,Reno,NV,1,26.00,Intermediate,N
JNUOFD,4/19/13,4/22/13,4/26/13,AD,ADVANTAGE,Las Vegas,NV,Las Vegas,NV,4,26.82,Standard,Y
JOAYQO,9/26/12,10/1/12,10/4/12,ZI,AVIS RENT A CAR,Missoula,MT,Missoula,MT,3,65.00,Intermediate,Y
JOKWVD,9/29/11,10/4/11,10/6/11,AL,ALAMO RENT A CAR,Orlando-Intl,FL,Orlando-Intl,FL,2,19.00,Intermediate,N
JOLFOG,11/12/10,11/15/10,11/16/10,ZR,DOLLAR RENT A CAR,Louisville,KY,Louisville,KY,1,17.00,Compact,N
JOMQIG,9/12/13,9/17/13,9/18/13,ET,ENTERPRISE CARS,West Palm Beach,FL,West Palm Beach,FL,1,18.00,Intermediate,Y
JOPJHY,9/15/11,9/20/11,9/25/11,ZD,BUDGET RENT A CAR,Las Vegas,NV,Las Vegas,NV,5,32.60,Intermediate,N
JOPRNG,8/22/11,8/24/11,8/24/11,AL,ALAMO RENT A CAR,Cincinnati,OH,Cincinnati,OH,1,29.00,Intermediate,N
JOUNJA,6/22/11,6/26/11,6/27/11,ZL,NATIONAL CAR RENTAL,San Diego,CA,San Diego,CA,1,18.00,Compact,N
JOUNJA,6/26/11,6/26/11,6/27/11,ZL,NATIONAL CAR RENTAL,San Diego,CA,San Diego,CA,1,18.00,Compact,N
JOVGLK,2/14/12,2/15/12,2/16/12,ZL,NATIONAL CAR RENTAL,Tucson,AZ,Tucson,AZ,1,30.00,Intermediate,N
JOZACG,2/25/11,3/2/11,3/3/11,ZT,THRIFTY RENT A CAR,Salt Lake City,UT,Salt Lake City,UT,1,20.00,Economy,Y
JPCWAR,10/31/11,11/2/11,11/3/11,ZR,DOLLAR RENT A CAR,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,23.00,Compact,N
JPCWAR,10/31/11,11/3/11,11/4/11,ET,ENTERPRISE CARS,Charlotte,NC,Charlotte,NC,1,12.00,Compact,N
JPCWAR,11/1/11,11/2/11,11/3/11,ZR,DOLLAR RENT A CAR,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,23.00,Compact,N
JPCWAR,11/1/11,11/3/11,11/4/11,ET,ENTERPRISE CARS,Charlotte,NC,Charlotte,NC,1,12.00,Compact,N
JPCWAR,11/2/11,11/2/11,11/3/11,ZR,DOLLAR RENT A CAR,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,23.00,Compact,N
JPCWAR,11/2/11,11/3/11,11/4/11,ET,ENTERPRISE CARS,Charlotte,NC,Charlotte,NC,1,12.00,Compact,N
JPCWAR,11/4/11,11/3/11,11/4/11,ET,ENTERPRISE CARS,Charlotte,NC,Charlotte,NC,1,12.00,Compact,N
JPELBQ,2/9/11,2/13/11,2/18/11,ET,ENTERPRISE CARS,Kansas City-Intl,MO,Kansas City-Intl,MO,5,25.00,Intermediate,Y
JPELBQ,2/9/11,2/14/11,2/15/11,ZR,DOLLAR RENT A CAR,Denver,CO,Denver,CO,1,27.00,Compact,Y
JPEYVH,10/5/12,10/10/12,10/10/12,ZR,DOLLAR RENT A CAR,Salt Lake City,UT,Salt Lake City,UT,1,28.00,Intermediate,Y
JPFJLK,7/3/12,7/8/12,7/12/12,ET,ENTERPRISE CARS,Denver,CO,Denver,CO,4,65.00,Full Size,N
JPFNVD,4/19/11,4/25/11,4/29/11,ZT,THRIFTY RENT A CAR,Phoenix,AZ,Phoenix,AZ,4,28.00,Compact,Y
JPGNBJ,9/15/11,9/20/11,9/28/11,ZT,THRIFTY RENT A CAR,Denver,CO,Denver,CO,8,15.86,Economy,Y
JPHHMR,3/9/11,3/13/11,3/18/11,ZR,DOLLAR RENT A CAR,St. Louis,MO,St. Louis,MO,5,24.00,Compact,Y
JPHOWC,12/16/10,12/20/10,12/21/10,ZD,BUDGET RENT A CAR,El Paso,TX,El Paso,TX,1,22.00,Compact,Y
JPHOWC,12/16/10,12/20/10,12/20/10,AL,ALAMO RENT A CAR,Oklahoma City,OK,Oklahoma City,OK,1,24.00,Compact,Y
JPKBXE,10/5/11,10/11/11,10/13/11,ET,ENTERPRISE CARS,Albuquerque,NM,Albuquerque,NM,2,31.00,Compact,Y
JPMOAP,5/19/11,5/24/11,5/25/11,AL,ALAMO RENT A CAR,Grand Rapids,MI,Grand Rapids,MI,1,26.00,Intermediate,N
JPMUWP,6/22/11,6/27/11,6/28/11,AL,ALAMO RENT A CAR,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,21.00,Compact,N
JPNJRB,12/15/10,12/20/10,12/20/10,ZL,NATIONAL CAR RENTAL,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,60.00,Compact,Y
JPPHVN,6/10/11,6/14/11,6/15/11,ZT,THRIFTY RENT A CAR,Seattle/TacomA,WA,Seattle/TacomA,WA,1,60.00,Compact,Y
JPQWPK,3/28/12,4/2/12,4/5/12,ET,ENTERPRISE CARS,Phoenix,AZ,Phoenix,AZ,3,31.00,Economy,Y
JPUDRD,2/13/13,2/19/13,2/20/13,ET,ENTERPRISE CARS,Huntsville/Decatur,AL,Huntsville/Decatur,AL,1,63.00,Standard,Y
JPVBST,3/26/12,3/29/12,3/30/12,ZR,DOLLAR RENT A CAR,Salt Lake City,UT,Salt Lake City,UT,1,18.00,Intermediate,N
JPVVVP,10/24/11,10/27/11,10/27/11,AL,ALAMO RENT A CAR,Detroit-Metro,MI,Detroit-Metro,MI,1,33.00,Compact,N
JQBFDI,3/22/12,3/25/12,3/27/12,ZT,THRIFTY RENT A CAR,El Paso,TX,El Paso,TX,2,23.00,Compact,Y
JQBFEG,1/29/13,1/31/13,2/1/13,ET,ENTERPRISE CARS,Tucson,AZ,Tucson,AZ,1,15.00,Economy,N
JQBJGO,7/13/11,7/18/11,7/19/11,ZI,AVIS RENT A CAR,Orlando-Intl,FL,Orlando-Intl,FL,1,65.00,Intermediate,N
JQBJGO,7/19/11,7/18/11,7/19/11,ZI,AVIS RENT A CAR,Orlando-Intl,FL,Orlando-Intl,FL,1,65.00,Intermediate,N
JQCKQN,11/8/11,11/9/11,11/10/11,ZL,NATIONAL CAR RENTAL,Cincinnati,OH,Cincinnati,OH,1,64.00,Intermediate,N
JQCKQN,11/10/11,11/9/11,11/10/11,ZL,NATIONAL CAR RENTAL,Cincinnati,OH,Cincinnati,OH,1,64.00,Intermediate,N
JQGIRS,2/1/12,2/6/12,2/10/12,ET,ENTERPRISE CARS,Santa Barbara,CA,Santa Barbara,CA,4,19.00,Economy,N
JQIHQZ,9/4/11,9/7/11,9/9/11,ZR,DOLLAR RENT A CAR,Ontario,CA,Ontario,CA,2,29.00,Compact,N
JQJOTJ,5/6/11,5/11/11,5/11/11,ZR,DOLLAR RENT A CAR,Columbia,SC,Columbia,SC,1,34.00,Economy,Y
JQJVLX,10/14/11,10/19/11,10/21/11,ZL,NATIONAL CAR RENTAL,Norfolk,VA,Norfolk,VA,2,80.00,Minivan,N
JQNHBG,3/2/12,3/5/12,3/9/12,ET,ENTERPRISE CARS,San Francisco,CA,San Francisco,CA,4,37.00,Compact,N
JQOBFU,10/13/11,10/13/11,10/16/11,AL,ALAMO RENT A CAR,Jackson/Vicksburg,MS,Jackson/Vicksburg,MS,3,35.00,Intermediate,N
JQSMGK,7/20/11,7/25/11,7/28/11,ZR,DOLLAR RENT A CAR,Dallas/Ft Worth,TX,Dallas/Ft Worth,TX,3,36.00,Economy,Y
JQTTCZ,7/5/11,7/6/11,7/7/11,ET,ENTERPRISE CARS,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,35.00,Full Size,N
JQUNYI,11/15/12,11/18/12,11/20/12,ET,ENTERPRISE CARS,New Orleans,LA,New Orleans,LA,2,95.24,Compact,Y
JQUQKK,1/4/12,1/4/12,1/5/12,ZT,THRIFTY RENT A CAR,Mobile,AL,Mobile,AL,1,22.00,Economy,Y
JQVTPG,8/11/11,8/16/11,8/18/11,ZI,AVIS RENT A CAR,Jackson/Vicksburg,MS,Jackson/Vicksburg,MS,2,40.00,Intermediate,N
JQWJFN,6/1/12,6/6/12,6/7/12,ZD,BUDGET RENT A CAR,Los Angeles,CA,Los Angeles,CA,1,25.00,Compact,Y
JQYLWD,3/6/13,3/11/13,3/13/13,AL,ALAMO RENT A CAR,Juneau,AK,Juneau,AK,2,47.00,Economy,Y
JRBRZR,8/3/12,8/8/12,8/9/12,ET,ENTERPRISE CARS,Dayton,OH,Dayton,OH,1,44.00,Economy,Y
JRBYGG,1/18/12,1/21/12,1/29/12,AL,ALAMO RENT A CAR,San Diego,CA,San Diego,CA,8,13.57,Intermediate,N
JRCKYT,9/12/13,9/17/13,9/19/13,AL,ALAMO RENT A CAR,Charleston,WV,Charleston,WV,2,29.00,Intermediate,N
JRCRBS,11/7/11,11/9/11,11/9/11,ZR,DOLLAR RENT A CAR,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,85.00,Compact,Y
JRDCRK,7/18/12,7/22/12,8/2/12,AL,ALAMO RENT A CAR,Atlanta,GA,Atlanta,GA,11,23.71,Compact,Y
JRHHET,10/13/11,10/17/11,10/21/11,ET,ENTERPRISE CARS,Boston,MA,Boston,MA,4,29.00,Compact,Y
JRHHET,10/18/11,10/17/11,10/21/11,ET,ENTERPRISE CARS,Boston,MA,Boston,MA,4,29.00,Compact,N
JRKISJ,3/7/12,3/12/12,3/13/12,AL,ALAMO RENT A CAR,Louisville,KY,Louisville,KY,1,29.00,Compact,N
JRKJJP,3/28/11,3/28/11,4/1/11,ZI,AVIS RENT A CAR,Baltimore/Washington Intl,MD,Baltimore/Washington Intl,MD,4,24.00,Intermediate,Y
JRKJJP,3/29/11,3/28/11,4/1/11,ZI,AVIS RENT A CAR,Baltimore/Washington Intl,MD,Baltimore/Washington Intl,MD,4,24.00,Intermediate,Y
JRMORC,7/18/11,7/21/11,7/21/11,AL,ALAMO RENT A CAR,Seattle/TacomA,WA,Seattle/TacomA,WA,1,40.00,Compact,N
JROUWB,3/8/11,3/8/11,3/9/11,ET,ENTERPRISE CARS,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,29.00,Compact,N
JRPORT,7/26/11,7/27/11,7/27/11,ET,ENTERPRISE CARS,Bemidji,MN,Bemidji,MN,1,36.00,Compact,N
JRPSLS,7/28/11,8/3/11,8/5/11,ET,ENTERPRISE CARS,Boise,ID,Boise,ID,2,33.00,Compact,Y
JRQIKU,10/4/11,10/7/11,10/8/11,ZD,BUDGET RENT A CAR,Los Angeles,CA,Los Angeles,CA,1,20.00,Economy,Y
JRQXVY,9/11/12,9/12/12,9/13/12,ZL,NATIONAL CAR RENTAL,Pensacola,FL,Pensacola,FL,1,46.00,Intermediate,N
JRQXVY,9/13/12,9/12/12,9/13/12,ZL,NATIONAL CAR RENTAL,Pensacola,FL,Pensacola,FL,1,46.00,Intermediate,N
JRUCAV,11/9/11,11/14/11,11/15/11,AL,ALAMO RENT A CAR,West Palm Beach,FL,West Palm Beach,FL,1,33.00,Intermediate,N
JRUNZS,3/21/12,3/26/12,3/30/12,ET,ENTERPRISE CARS,Denver,CO,Denver,CO,4,46.00,Compact,Y
JRZRRX,4/25/12,5/2/12,5/3/12,ZL,NATIONAL CAR RENTAL,Little Rock,AR,Little Rock,AR,1,45.00,Intermediate,N
JSACGH,6/16/11,6/21/11,6/21/11,ET,ENTERPRISE CARS,Phoenix,AZ,Phoenix,AZ,1,29.00,Economy,Y
JSAIWC,3/28/12,4/2/12,4/6/12,ZR,DOLLAR RENT A CAR,Spokane,WA,Spokane,WA,4,26.25,Intermediate,Y
JSAJTH,12/12/12,12/17/12,12/19/12,ZL,NATIONAL CAR RENTAL,Raleigh/Durham,NC,Raleigh/Durham,NC,2,34.00,Compact,Y
JSAPGH,10/27/11,11/1/11,11/1/11,AL,ALAMO RENT A CAR,Ft. Lauderdale,FL,Ft. Lauderdale,FL,1,22.00,Economy,Y
JSBOFN,9/11/12,9/17/12,9/18/12,ZR,DOLLAR RENT A CAR,Cleveland,OH,Cleveland,OH,1,24.00,Economy,Y
JSCXYW,8/29/12,8/31/12,9/3/12,ZD,BUDGET RENT A CAR,Jackson/Vicksburg,MS,Jackson/Vicksburg,MS,3,42.00,Intermediate,N
JSETWM,10/1/12,10/3/12,10/4/12,ET,ENTERPRISE CARS,Moline,IL,Moline,IL,1,38.00,Compact,N
JSFSFW,8/17/11,8/19/11,8/19/11,ET,ENTERPRISE CARS,Cleveland,OH,Cleveland,OH,1,19.00,Intermediate,N
JSHWHD,3/23/11,3/28/11,4/1/11,AL,ALAMO RENT A CAR,Oklahoma City,OK,Oklahoma City,OK,4,22.00,Compact,Y
JSHWHD,3/27/11,3/28/11,4/1/11,AL,ALAMO RENT A CAR,Oklahoma City,OK,Oklahoma City,OK,4,22.00,Compact,N
JSIKOL,8/26/11,8/31/11,9/1/11,AL,ALAMO RENT A CAR,Detroit-Metro,MI,Detroit-Metro,MI,1,40.00,Full Size,N
JSJDOA,10/29/10,11/3/10,11/4/10,ZL,NATIONAL CAR RENTAL,New Orleans,LA,New Orleans,LA,1,71.00,Intermediate,N
JSJYLE,4/1/11,4/2/11,4/3/11,ZI,AVIS RENT A CAR,San Antonio,TX,San Antonio,TX,1,19.00,Intermediate,N
JSKXTQ,8/11/11,8/16/11,8/23/11,AL,ALAMO RENT A CAR,Missoula,MT,Missoula,MT,7,52.29,Intermediate,N
JSKXTQ,8/16/11,8/16/11,8/23/11,AL,ALAMO RENT A CAR,Missoula,MT,Missoula,MT,7,52.29,Intermediate,N
JSMSVU,7/25/12,7/30/12,7/30/12,ZD,BUDGET RENT A CAR,Fairbanks,AK,Fairbanks,AK,1,52.00,Compact,N
JSOKOJ,4/7/11,4/11/11,4/12/11,AL,ALAMO RENT A CAR,San Antonio,TX,San Antonio,TX,1,39.60,Standard,N
JSPAOK,12/28/10,1/4/11,1/7/11,ZL,NATIONAL CAR RENTAL,Washington DC,DC,Washington DC,DC,3,34.00,Intermediate,N
JSPIDH,8/17/11,8/22/11,8/26/11,AL,ALAMO RENT A CAR,Chicago-OHare,IL,Chicago-OHare,IL,4,27.25,Economy,Y
JSQGAI,4/22/13,4/22/13,4/28/13,ET,ENTERPRISE CARS,Bismarck,ND,Bismarck,ND,6,35.50,Compact,N
JSSBSY,10/4/12,10/10/12,10/12/12,ET,ENTERPRISE CARS,Yuma,AZ,Yuma,AZ,2,20.00,Economy,Y
JSTLBD,3/1/13,3/6/13,3/7/13,ZI,AVIS RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,1,54.00,Compact,N
JSWTGW,3/9/11,3/14/11,3/18/11,ET,ENTERPRISE CARS,Philadelphia,PA,Philadelphia,PA,4,41.00,Compact,N
JSXOOP,7/15/11,7/20/11,7/22/11,ET,ENTERPRISE CARS,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,2,32.00,Economy,Y
JTAFDC,1/13/11,1/18/11,1/19/11,ZR,DOLLAR RENT A CAR,San Diego,CA,San Diego,CA,1,12.00,Economy,Y
JTBKOG,6/13/13,6/18/13,6/20/13,ZR,DOLLAR RENT A CAR,Salt Lake City,UT,Salt Lake City,UT,2,23.00,Compact,Y
JTBKOG,6/18/13,6/18/13,6/20/13,ZR,DOLLAR RENT A CAR,Salt Lake City,UT,Salt Lake City,UT,2,23.00,Compact,N
JTFNHP,7/6/12,7/11/12,7/12/12,ET,ENTERPRISE CARS,Salt Lake City,UT,Salt Lake City,UT,1,39.00,Compact,N
JTFTID,7/19/12,7/24/12,7/25/12,ET,ENTERPRISE CARS,Bismarck,ND,Bismarck,ND,1,42.00,Compact,Y
JTHCXE,6/1/11,6/6/11,6/10/11,AL,ALAMO RENT A CAR,Miami,FL,Miami,FL,4,21.50,Compact,Y
JTHGLC,1/3/13,1/7/13,1/8/13,ET,ENTERPRISE CARS,Detroit-Metro,MI,Detroit-Metro,MI,1,37.00,Compact,Y
JTIKGN,6/14/12,6/19/12,6/22/12,ET,ENTERPRISE CARS,Honolulu - Oahu,HI,Honolulu - Oahu,HI,3,23.00,Economy,Y
JTMHDB,2/21/12,2/22/12,2/22/12,ZR,DOLLAR RENT A CAR,Richmond,VA,Richmond,VA,1,24.00,Economy,N
JTMILT,1/9/13,1/14/13,1/17/13,ZL,NATIONAL CAR RENTAL,Charleston,SC,Charleston,SC,3,26.00,Compact,Y
JTNOOV,7/31/13,8/5/13,8/9/13,ZT,THRIFTY RENT A CAR,Portland,OR,Portland,OR,4,37.00,Economy,Y
JTOXDD,3/22/12,3/27/12,3/28/12,ZD,BUDGET RENT A CAR,Detroit-Metro,MI,Detroit-Metro,MI,1,40.00,Intermediate,N
JTQLSI,4/18/13,4/23/13,4/26/13,ZE,HERTZ RENT A CAR,Washington D.C.-Dulles,DC,Washington D.C.-Dulles,DC,3,23.00,Intermediate,N
JTQTXB,9/28/11,10/3/11,10/6/11,ET,ENTERPRISE CARS,Boise,ID,Boise,ID,3,27.00,Compact,Y
JTRDFL,11/29/10,12/2/10,12/3/10,ZT,THRIFTY RENT A CAR,Houston-Hobby,TX,Houston-Hobby,TX,1,20.00,Economy,Y
JTUJSP,9/18/12,9/20/12,9/21/12,ET,ENTERPRISE CARS,Las Vegas,NV,Las Vegas,NV,1,67.42,Compact,N
JTUWMB,10/28/10,10/31/10,11/1/10,ZR,DOLLAR RENT A CAR,Norfolk,VA,Norfolk,VA,1,21.00,Compact,Y
JTWOEK,6/2/11,6/7/11,6/9/11,AL,ALAMO RENT A CAR,Dallas/Ft Worth,TX,Dallas/Ft Worth,TX,2,32.00,Full Size,N
JTYCWZ,4/26/13,5/1/13,5/3/13,ET,ENTERPRISE CARS,Shreveport,LA,Shreveport,LA,2,37.00,Compact,Y
JTZXWM,8/14/13,8/18/13,8/23/13,ET,ENTERPRISE CARS,Dallas,TX,Dallas,TX,5,19.20,Compact,N
JUATMS,10/29/10,11/15/10,11/17/10,ET,ENTERPRISE CARS,Charleston,WV,Charleston,WV,2,32.00,Economy,Y
JUBOJY,11/17/10,11/18/10,11/19/10,ZL,NATIONAL CAR RENTAL,Los Angeles,CA,Los Angeles,CA,1,22.00,Compact,N
JUCAGT,7/29/11,8/3/11,8/7/11,ZD,BUDGET RENT A CAR,Seattle/TacomA,WA,Seattle/TacomA,WA,4,41.00,Compact,N
JUEGXW,9/23/11,9/28/11,9/29/11,AL,ALAMO RENT A CAR,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,151.52,Full Size,Y
JUFIGV,1/5/11,1/9/11,1/14/11,ET,ENTERPRISE CARS,Orlando-Intl,FL,Orlando-Intl,FL,5,21.60,Compact,N
JUFVIP,1/18/11,1/19/11,1/20/11,AL,ALAMO RENT A CAR,Huntington,WV,Huntington,WV,1,43.00,Compact,Y
JUJOCW,2/10/12,2/14/12,2/15/12,ET,ENTERPRISE CARS,Denver,CO,Denver,CO,1,32.00,Compact,N
JUKJXR,2/14/11,2/17/11,2/17/11,ZR,DOLLAR RENT A CAR,Miami,FL,Miami,FL,1,12.00,Compact,Y
JULNNX,2/21/11,2/22/11,2/24/11,ZL,NATIONAL CAR RENTAL,Pittsburgh,PA,Pittsburgh,PA,2,62.00,Intermediate,N
JUMDTR,5/2/13,5/7/13,5/8/13,ZR,DOLLAR RENT A CAR,West Palm Beach,FL,West Palm Beach,FL,1,15.00,Compact,Y
JUNVTY,5/18/11,5/23/11,5/27/11,ZR,DOLLAR RENT A CAR,Jacksonville,FL,Jacksonville,FL,4,23.00,Intermediate,N
JUOGGI,6/23/11,6/28/11,6/30/11,ET,ENTERPRISE CARS,Sacramento,CA,Sacramento,CA,2,34.00,Compact,N
JUPRDJ,7/12/13,7/17/13,7/18/13,ZR,DOLLAR RENT A CAR,Columbus,OH,Columbus,OH,1,26.00,Compact,Y
JURWGY,5/9/13,5/14/13,5/14/13,ZT,THRIFTY RENT A CAR,Corpus Christi,TX,Corpus Christi,TX,1,25.00,Compact,N
JUSHNO,2/16/12,2/21/12,2/22/12,ET,ENTERPRISE CARS,West Palm Beach,FL,West Palm Beach,FL,1,52.00,Intermediate,Y
JUSSPY,9/24/12,9/27/12,9/27/12,ET,ENTERPRISE CARS,Detroit-Metro,MI,Detroit-Metro,MI,1,29.00,Compact,N
JUTYOZ,2/17/12,2/21/12,2/23/12,ET,ENTERPRISE CARS,New Orleans,LA,New Orleans,LA,2,42.00,Intermediate,N
JUUDFY,11/6/12,11/8/12,11/9/12,ZR,DOLLAR RENT A CAR,Jacksonville,FL,Jacksonville,FL,1,147.05,Compact,N
JUWQKE,12/30/10,1/4/11,1/5/11,ET,ENTERPRISE CARS,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,15.00,Compact,Y
JUWRUA,9/18/13,9/23/13,9/26/13,ET,ENTERPRISE CARS,Tucson,AZ,Tucson,AZ,3,16.00,Compact,Y
JUXKSM,4/18/11,4/24/11,4/28/11,ZD,BUDGET RENT A CAR,Baltimore/Washington Intl,MD,Baltimore/Washington Intl,MD,4,30.00,Compact,N
JUXXVI,5/12/11,5/16/11,5/17/11,ET,ENTERPRISE CARS,Detroit-Metro,MI,Detroit-Metro,MI,1,32.00,Compact,Y
JUYVVX,12/28/12,1/3/13,1/4/13,ZD,BUDGET RENT A CAR,Duluth/Superior,MN,Duluth/Superior,MN,1,48.99,Compact,Y
JUZCXF,8/10/11,8/15/11,8/16/11,ET,ENTERPRISE CARS,West Palm Beach,FL,West Palm Beach,FL,1,27.00,Compact,N
JUZPHE,9/6/13,9/9/13,9/11/13,ET,ENTERPRISE CARS,Cleveland,OH,Cleveland,OH,2,26.00,Compact,N
JUZPHE,9/10/13,9/9/13,9/11/13,ET,ENTERPRISE CARS,Cleveland,OH,Cleveland,OH,2,26.00,Compact,N
JUZYXX,3/7/13,3/12/13,3/13/13,ZI,AVIS RENT A CAR,Laredo,TX,Laredo,TX,1,31.95,Compact,Y
